pay_item_number_raw,pay_item_number,subitem,suffix,description,unit,valid_values_1,valid_values_2,valid_values_3,source_file
1052 (36) a2,1052,36,a2,"Steel Pipe Sheet Piles, Furnished and Driven 1200 mm dia. x 19 mm thk",Meter,,,,Part E_1000.pdf
1052 (37),1052,37,,a PVC Sheet Piles Furnished,Meter,,,,Part E_1000.pdf
1052 (37),1052,37,,b PVC Sheet Piles Driven Page 29 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part E_1000.pdf
1053 (1),1053,1,,Carpet Floor Tiles,Square Meter,,,,Part E_1000.pdf
1053 (2),1053,2,,Carpet Floor Tiles,Lump Sum,,,,Part E_1000.pdf
1054 (1),1054,1,,Glass Fiber Reinforced Concrete (GFRC) Cladding Panels,Square Meter,,,,Part E_1000.pdf
1054 (2),1054,2,,Glass Fiber Reinforced Concrete (GFRC) Cladding Panels,Lump Sum,,,,Part E_1000.pdf
1055 (1),1055,1,,Sprayed Cementitious Fireproofing,Square Meter,,,,Part E_1000.pdf
1056 (1),1056,1,,Asphalt Roof Shingles,Square Meter,,,,Part E_1000.pdf
1058 (1),1058,1,,Flood Protection System for Buildings,Lump Sum,,,,Part E_1000.pdf
1058 (2),1058,2,,Demountable Flood Barrier,Square Meter,,,,Part E_1000.pdf
1058 (3),1058,3,,Window Cover Flood Barrier Page 30 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1058 (4),1058,4,,Swinging Flood Gate,Square Meter,,,,Part E_1000.pdf
1058 (5),1058,5,,Pivot-hinged Flood Gate,Square Meter,,,,Part E_1000.pdf
1058 (6),1058,6,,Drop-down Flood Barrier,Square Meter,,,,Part E_1000.pdf
1058 (7),1058,7,,Flip-up Flood Barrier,Square Meter,,,,Part E_1000.pdf
1058 (8),1058,8,,Sliding Flood Barrier,Square Meter,,,,Part E_1000.pdf
1058 (9),1058,9,,Glass-Paneled Flood Barrier,Square Meter,,,,Part E_1000.pdf
1059 (1),1059,1,,Viscous Dampers,Set,,,,Part E_1000.pdf
1060 (1),1060,1,,Seismic Base Isolator (Lead Rubber Bearing),Set,,,,Part E_1000.pdf
1060 (2),1060,2,,Seismic Base Isolator (Lead Rubber Bearing),Lump Sum,,,,Part E_1000.pdf
1060 (3),1060,3,,Seismic Base Isolator (Rubber Bearing),Set,,,,Part E_1000.pdf
1060 (4),1060,4,,Seismic Base Isolator (Rubber Bearing),Lump Sum,,,,Part E_1000.pdf
1060 (5),1060,5,,Seismic Base Isolator (Sliding Isolator Bearing - Set Flat Slider),Set,,,,Part E_1000.pdf
1060 (6),1060,6,,Seismic Base Isolator (Sliding Isolator Bearing - Set Flat Slider),Lump Sum,,,,Part E_1000.pdf
1061 (1) a1,1061,1,a1,PVC Tensile Fabric with accessories Type 0,Square Meter,,,,Part E_1000.pdf
1061 (1) a2,1061,1,a2,PVC Tensile Fabric with accessories Type 1 Page 31 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1061 (1) a3,1061,1,a3,PVC Tensile Fabric with accessories Type 2,Square Meter,,,,Part E_1000.pdf
1061 (1) a4,1061,1,a4,PVC Tensile Fabric with accessories Type 3,Square Meter,,,,Part E_1000.pdf
1061 (2) a1,1061,2,a1,PTFE Tensile Fabric with accessories Type 1,Square Meter,,,,Part E_1000.pdf
1061 (2) a2,1061,2,a2,PTFE Tensile Fabric with accessories Type 2,Square Meter,,,,Part E_1000.pdf
1061 (2) a3,1061,2,a3,PTFE Tensile Fabric with accessories Type 3,Square Meter,,,,Part E_1000.pdf
1061 (2) a4,1061,2,a4,PTFE Tensile Fabric with accessories Type 4 Page 32,Square Meter,,,,Part E_1000.pdf
900 (1),900,1,,a Structural Concrete 3000 psi Class A 7 days,Cubic Meter,,,,Part D_900.pdf
900 (1),900,1,,b Structural Concrete 3000 psi Class A 14 days,Cubic Meter,,,,Part D_900.pdf
900 (1),900,1,,c Structural Concrete 3000 psi Class A 28 days,Cubic Meter,,,,Part D_900.pdf
900 (1),900,1,,d Structural Concrete 4000 psi Class A 28 days,Cubic Meter,,,,Part D_900.pdf
900 (1),900,1,,e Structural Concrete 5000 psi Class A 28 days,Cubic Meter,,,,Part D_900.pdf
900 (1),900,1,,f Structural Concrete 6000 psi Class A 28 days,Cubic Meter,,,,Part D_900.pdf
900 (1),900,1,,g Structural Concrete Class A 7 days,Cubic Meter,,,,Part D_900.pdf
900 (1),900,1,,h Structural Concrete Class A 14 days,Cubic Meter,,,,Part D_900.pdf
900 (1),900,1,,i Structural Concrete Class A 28 days,Cubic Meter,,,,Part D_900.pdf
900 (2),900,2,,a Structural Concrete Class B 7 days,Cubic Meter,,,,Part D_900.pdf
900 (2),900,2,,b Structural Concrete Class B 14 days,Cubic Meter,,,,Part D_900.pdf
900 (2),900,2,,c Structural Concrete Class B 28 days,Cubic Meter,,,,Part D_900.pdf
900 (3),900,3,,a Structural Concrete Class C 7 days,Cubic Meter,,,,Part D_900.pdf
900 (3),900,3,,b Structural Concrete Class C 14 days,Cubic Meter,,,,Part D_900.pdf
900 (3),900,3,,c Structural Concrete Class C 28 days,Cubic Meter,,,,Part D_900.pdf
900 (4),900,4,,a Structural Concrete Class P 7 days,Cubic Meter,,,,Part D_900.pdf
900 (4),900,4,,b Structural Concrete Class P 14 days,Cubic Meter,,,,Part D_900.pdf
900 (4),900,4,,c Structural Concrete Class P 28 days,Cubic Meter,,,,Part D_900.pdf
900 (5),900,5,,Seal Concrete,Cubic Meter,,,,Part D_900.pdf
900 (6),900,6,,Reinforced Concrete Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Cubic Meter,,,,Part D_900.pdf
901 (1),901,1,,Lean Concrete,Cubic Meter,,,,Part D_900.pdf
902 (1) a1,902,1,a1,Reinforcing Steel (Deformed) Grade 40,Kilogram,,,,Part D_900.pdf
902 (1) a2,902,1,a2,Reinforcing Steel (Deformed) Grade 60,Kilogram,,,,Part D_900.pdf
902 (1) a3,902,1,a3,Reinforcing Steel (Deformed) Grade 80,Kilogram,,,,Part D_900.pdf
902 (1),902,1,,b Reinforcing Steel (Plain/Round),Kilogram,,,,Part D_900.pdf
902 (2) a1,902,2,a1,Epoxy-Coated Reinforcing Steel (Deformed) Grade 40,Kilogram,,,,Part D_900.pdf
902 (2) a2,902,2,a2,Epoxy-Coated Reinforcing Steel (Deformed) Grade 60,Kilogram,,,,Part D_900.pdf
902 (2) a3,902,2,a3,Epoxy-Coated Reinforcing Steel (Deformed) Grade 80,Kilogram,,,,Part D_900.pdf
902 (2),902,2,,b Epoxy-Coated Reinforcing Steel (Plain/Round),Kilogram,,,,Part D_900.pdf
903 (1),903,1,,Formworks and Falseworks,Lump Sum,,,,Part D_900.pdf
903 (2),903,2,,Formworks and Falseworks,Square Meter,,,,Part D_900.pdf
904 (1),904,1,,a Precast Prestressed Concrete Floor Joist 2 Strands Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Linear Meter,,,,Part D_900.pdf
904 (1),904,1,,b Precast Prestressed Concrete Floor Joist 3 Strands,Linear Meter,,,,Part D_900.pdf
904 (1),904,1,,c Precast Prestressed Concrete Floor Joist 4 Strands Page 3,Linear Meter,,,,Part D_900.pdf
1200 (1),1200,1,,Ventilating Equipment,Lump Sum,,,,Part G_1200.pdf
1200 (2),1200,2,,a Oscillating Fan Stand Fan,Set,,,,Part G_1200.pdf
1200 (2),1200,2,,b Oscillating Fan Wall Fan,Set,,,,Part G_1200.pdf
1200 (2),1200,2,,c Oscillating Fan Ceiling Fan,Set,,,,Part G_1200.pdf
1200 (3),1200,3,,"Stand Fan, Industrial Type",Set,,,,Part G_1200.pdf
1200 (4),1200,4,,a Propeller Fan Wall Mounted Fan,Set,,,,Part G_1200.pdf
1200 (4),1200,4,,b Propeller Fan Ceiling Fan Tube Axial Fan Roof,Set,,,,Part G_1200.pdf
1200 (4),1200,4,,c Propeller Fan Mounted,Set,,,,Part G_1200.pdf
1200 (5),1200,5,,a Exhaust Fan Ceiling Cassette,Set,,,,Part G_1200.pdf
1200 (5),1200,5,,"b Exhaust Fan Wall Mounted Wall Mounted, Industrial",Set,,,,Part G_1200.pdf
1200 (5),1200,5,,c Exhaust Fan Type,Set,,,,Part G_1200.pdf
1200 (5),1200,5,,d Exhaust Fan Tubular in Line,Set,,,,Part G_1200.pdf
1200 (6),1200,6,,"Supply Fan, Ceiling Cassette",Set,,,,Part G_1200.pdf
1200 (7),1200,7,,Centrifugal Cabinet in line Fan Ducted Type (CCI),Set,,,,Part G_1200.pdf
1200 (8),1200,8,,Centrifugal Fan Backward Incline,Set,,,,Part G_1200.pdf
1200 (9),1200,9,,Kitchen Hood,Set,,,,Part G_1200.pdf
1200 (10),1200,10,,Induced Jet Fan,Set,,,,Part G_1200.pdf
1200 (11),1200,11,,Refrigerant,Kilogram,,,,Part G_1200.pdf
1200 (12),1200,12,,Sand Trap Louver Package/Split,Square Meter,,,,Part G_1200.pdf
1200 (13),1200,13,,a Air Conditioning System Type,Lump Sum,,,,Part G_1200.pdf
1200 (13),1200,13,,b Air Conditioning System VRF/VRV Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS Centralized Air-,Lump Sum,,,,Part G_1200.pdf
1200 (13),1200,13,,c Air Conditioning System Condition Ducting,Lump Sum,,,,Part G_1200.pdf
1200 (14),1200,14,,Ventilating System,Lump Sum,,,,Part G_1200.pdf
1201 (1),1201,1,,Water Pumping System,Lump Sum,,,,Part G_1200.pdf
1201 (2),1201,2,,Centrifugal Pump with Control,Set,,,,Part G_1200.pdf
1201 (3),1201,3,,Submersible Multi-Stage Deepwell Pump with Control,Set,,,,Part G_1200.pdf
1201 (4),1201,4,,Submersible Sump Pump with Control,Set,,,,Part G_1200.pdf
1201 (5),1201,5,,Booster Pump with Control,Set,,,,Part G_1200.pdf
1201 (6),1201,6,,Jet Pump with Control,Set,,,,Part G_1200.pdf
1201 (7),1201,7,,a Water Tank Stainless,Set,,,,Part G_1200.pdf
1201 (7),1201,7,,b Water Tank Galvanized Iron,Set,,,,Part G_1200.pdf
1201 (7),1201,7,,c Water Tank Polyethylene,Set,,,,Part G_1200.pdf
1201 (7),1201,7,,d Water Tank Concrete,Set,,,,Part G_1200.pdf
1201 (8),1201,8,,Valves and Pipe Fittings,Lump Sum,,,,Part G_1200.pdf
1201 (9),1201,9,,Electrode,Set,,,,Part G_1200.pdf
1202 (1),1202,1,,Automatic Fire Sprinkler System,Lump Sum,,,,Part G_1200.pdf
1202 (2),1202,2,,Fire Pump Complete with Control and Standard Accessories,Set,,,,Part G_1200.pdf
1202 (3),1202,3,,Jockey Pump complete with control and standard accessories,Set,,,,Part G_1200.pdf
1202 (4),1202,4,,a Fire Hose Valve with cap 63 mm dia,Set,,,,Part G_1200.pdf
1202 (4),1202,4,,b Fire Hose Valve with cap 40 mm dia,Set,,,,Part G_1200.pdf
1202 (5),1202,5,,Fire Hose Cabinet Assembly Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Set,,,,Part G_1200.pdf
1202 (6) a1,1202,6,a1,Fire Extinguisher 4.54 kg ABC with bracket,Set,,,,Part G_1200.pdf
1202 (6) a2,1202,6,a2,Fire Extinguisher 9.07 kg ABC with bracket CO2/HCFC123 with,Set,,,,Part G_1200.pdf
1202 (6) b1,1202,6,b1,Fire Extinguisher 4.54 kg bracket CO2/HCFC123 with,Set,,,,Part G_1200.pdf
1202 (6) b2,1202,6,b2,Fire Extinguisher 9.07 kg bracket CO2/HCFC123 wheeled,Set,,,,Part G_1200.pdf
1202 (6),1202,6,,"c Fire Extinguisher 22.68 kg type Fire Department Connections for Wet and Dry Type System, 100 mm x 63 mm x 63",Set,,,,Part G_1200.pdf
1202 (7),1202,7,,mm,Set,,,,Part G_1200.pdf
1202 (8),1202,8,,Fire Hydrant,Set,,,,Part G_1200.pdf
1203 (1),1203,1,,a Electric Elevator up to 500 kg,Lump Sum,,,,Part G_1200.pdf
1203 (1),1203,1,,b Electric Elevator 501 kg - 1000 kg,Lump Sum,,,,Part G_1200.pdf
1203 (1),1203,1,,c Electric Elevator above 1000 kg,Lump Sum,,,,Part G_1200.pdf
1203 (2),1203,2,,Service Elevator,Lump Sum,,,,Part G_1200.pdf
1204 (1),1204,1,,Electric Dumbwaiter,Lump Sum,,,,Part G_1200.pdf
1204 (2),1204,2,,Electric Wires and Conduits,Meter,,,,Part G_1200.pdf
1205 (1),1205,1,,"Oxygen, Nitrous Oxide, Gas Manifold and Duplex Vacuum Pump",Set,,,,Part G_1200.pdf
1205 (2),1205,2,,"Humidifier, Vacuum Trap Bottle, Outlets, Valves Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS",Piece,,,,Part G_1200.pdf
1205 (3),1205,3,,Pipes and Tubings,Linear Meter,,,,Part G_1200.pdf
1206 (1),1206,1,,"Boilers, Fuel Pump, Storage Tank and Fuel Day Tank including Foundation",Set,,,,Part G_1200.pdf
1206 (2),1206,2,,Pipes,Meter,,,,Part G_1200.pdf
1206 (3),1206,3,,Valves and Fittings,Piece,,,,Part G_1200.pdf
1207 (1),1207,1,,Boiler (including fittings and attachments),Lump Sum,,,,Part G_1200.pdf
1208 (1),1208,1,,Fire Alarm System,Lump Sum,,,,Part G_1200.pdf
1208 (2),1208,2,,Smoke Detector with Base,Set,,,,Part G_1200.pdf
1208 (3),1208,3,,Heat Detector with Base,Set,,,,Part G_1200.pdf
1208 (4),1208,4,,Fire Alarm Bell,Set,,,,Part G_1200.pdf
1208 (5),1208,5,,Fire Alarm Control Panel,Set,,,,Part G_1200.pdf
1208 (6),1208,6,,Manual Pull Station Switch,Set,,,,Part G_1200.pdf
1208 (7),1208,7,,Back-up Battery Pack,Set,,,,Part G_1200.pdf
1208 (8),1208,8,,Automatic Voltage Regulator,Set,,,,Part G_1200.pdf
1208 (9),1208,9,,Extended Power Supply,Set,,,,Part G_1200.pdf
1208 (10),1208,10,,Loop Expander Module,Set,,,,Part G_1200.pdf
1208 (11),1208,11,,Loop Control Module,Set,,,,Part G_1200.pdf
1208 (12),1208,12,,Annunciator Addressable Module Page 4,Set,,,,Part G_1200.pdf
1100 (1),1100,1,,a Rigid Steel Conduit (RSC) 15 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,b Rigid Steel Conduit (RSC) 20 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,c Rigid Steel Conduit (RSC) 25 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,d Rigid Steel Conduit (RSC) 32 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,e Rigid Steel Conduit (RSC) 40 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,f Rigid Steel Conduit (RSC) 50 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,g Rigid Steel Conduit (RSC) 65 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,h Rigid Steel Conduit (RSC) 80 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,i Rigid Steel Conduit (RSC) 90 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,j Rigid Steel Conduit (RSC) 100 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,k Rigid Steel Conduit (RSC) 125 mm dia,Meter,,,,Part F_1100.pdf
1100 (1),1100,1,,l Rigid Steel Conduit (RSC) 150 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,a Intermediate Metal Conduit (IMC) 15 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,b Intermediate Metal Conduit (IMC) 20 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,c Intermediate Metal Conduit (IMC) 25 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,d Intermediate Metal Conduit (IMC) 32 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,e Intermediate Metal Conduit (IMC) 40 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,f Intermediate Metal Conduit (IMC) 50 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,g Intermediate Metal Conduit (IMC) 65 mm dia Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,h Intermediate Metal Conduit (IMC) 80 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,i Intermediate Metal Conduit (IMC) 90 mm dia,Meter,,,,Part F_1100.pdf
1100 (2),1100,2,,j Intermediate Metal Conduit (IMC) 100 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,a Flexible Metal Conduit 15 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,b Flexible Metal Conduit 20 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,c Flexible Metal Conduit 25 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,d Flexible Metal Conduit 32 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,e Flexible Metal Conduit 40 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,f Flexible Metal Conduit 50 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,g Flexible Metal Conduit 65 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,h Flexible Metal Conduit 80 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,i Flexible Metal Conduit 90 mm dia,Meter,,,,Part F_1100.pdf
1100 (3),1100,3,,j Flexible Metal Conduit 100 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,a Electrical Metallic Tubing (EMT) 15 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,b Electrical Metallic Tubing (EMT) 20 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,c Electrical Metallic Tubing (EMT) 25 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,d Electrical Metallic Tubing (EMT) 32 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,e Electrical Metallic Tubing (EMT) 40 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,f Electrical Metallic Tubing (EMT) 50 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,g Electrical Metallic Tubing (EMT) 65 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,h Electrical Metallic Tubing (EMT) 80 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,i Electrical Metallic Tubing (EMT) 90 mm dia,Meter,,,,Part F_1100.pdf
1100 (4),1100,4,,j Electrical Metallic Tubing (EMT) 100 mm dia,Meter,,,,Part F_1100.pdf
1100 (5),1100,5,,a Liquidtight Flexible Non-Metallic Conduit 10 mm dia,Meter,,,,Part F_1100.pdf
1100 (5),1100,5,,b Liquidtight Flexible Non-Metallic Conduit 15 mm dia,Meter,,,,Part F_1100.pdf
1100 (5),1100,5,,c Liquidtight Flexible Non-Metallic Conduit 20 mm dia,Meter,,,,Part F_1100.pdf
1100 (5),1100,5,,d Liquidtight Flexible Non-Metallic Conduit 25 mm dia,Meter,,,,Part F_1100.pdf
1100 (5),1100,5,,e Liquidtight Flexible Non-Metallic Conduit 32 mm dia Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part F_1100.pdf
1100 (5),1100,5,,f Liquidtight Flexible Non-Metallic Conduit 40 mm dia,Meter,,,,Part F_1100.pdf
1100 (5),1100,5,,g Liquidtight Flexible Non-Metallic Conduit 50 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,a Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 20 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,b Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 25 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,c Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 32 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,d Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 40 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,e Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 50 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,f Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 65mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,g Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 75 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,h Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 90 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,i Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 100 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,j Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 110 mm dia,Meter,,,,Part F_1100.pdf
1100 (6),1100,6,,k Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 160 mm dia,Meter,,,,Part F_1100.pdf
1100 (7) a1,1100,7,a1,Weatherhead 15 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a2,1100,7,a2,Weatherhead 20 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a3,1100,7,a3,Weatherhead 25 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a4,1100,7,a4,Weatherhead 32 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a5,1100,7,a5,Weatherhead 40 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a6,1100,7,a6,Weatherhead 50 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a7,1100,7,a7,Weatherhead 65 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a8,1100,7,a8,Weatherhead 80 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a9,1100,7,a9,Weatherhead 90 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a10,1100,7,a10,Weatherhead 100 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a11,1100,7,a11,Weatherhead 125 mm dia,Piece,,,,Part F_1100.pdf
1100 (7) a12,1100,7,a12,Weatherhead 150 mm dia,Piece,,,,Part F_1100.pdf
1100 (8),1100,8,,Boxes/Wire Gutter Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part F_1100.pdf
1100 (9),1100,9,,Fittings and Accessories,Lump Sum,,,,Part F_1100.pdf
1100 (10),1100,10,,"Conduits, Boxes & Fittings (Conduit Works/Conduit Rough-in) 1.6 mm dia.",Lump Sum,,,,Part F_1100.pdf
1101 (1) a1,1101,1,a1,Electric Wire Solid TW/THHN/THWN2 2.0 mm dia.,Roll,,,,Part F_1100.pdf
1101 (1) a2,1101,1,a2,Electric Wire Solid TW/THHN/THWN2 2.6 mm dia.,Roll,,,,Part F_1100.pdf
1101 (1) a3,1101,1,a3,Electric Wire Solid TW/THHN/THWN2 3.2 mm dia.,Roll,,,,Part F_1100.pdf
1101 (1) a4,1101,1,a4,Electric Wire Solid TW/THHN/THWN2 2.0 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b1,1101,1,b1,Electric Wire Stranded TW/THHN/THWN2 3.5 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b2,1101,1,b2,Electric Wire Stranded TW/THHN/THWN2 5.5 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b3,1101,1,b3,Electric Wire Stranded TW/THHN/THWN2 8.0 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b4,1101,1,b4,Electric Wire Stranded TW/THHN/THWN2 14 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b5,1101,1,b5,Electric Wire Stranded TW/THHN/THWN2 22 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b6,1101,1,b6,Electric Wire Stranded TW/THHN/THWN2 30 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b7,1101,1,b7,Electric Wire Stranded TW/THHN/THWN2 38 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b8,1101,1,b8,Electric Wire Stranded TW/THHN/THWN2 50 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b9,1101,1,b9,Electric Wire Stranded TW/THHN/THWN2 Page 4 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS 60 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b10,1101,1,b10,Electric Wire Stranded TW/THHN/THWN2 80 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b11,1101,1,b11,Electric Wire Stranded TW/THHN/THWN2 100 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b12,1101,1,b12,Electric Wire Stranded TW/THHN/THWN2 125 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b13,1101,1,b13,Electric Wire Stranded TW/THHN/THWN2 150 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b14,1101,1,b14,Electric Wire Stranded TW/THHN/THWN2 200 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b15,1101,1,b15,Electric Wire Stranded TW/THHN/THWN2 250 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b16,1101,1,b16,Electric Wire Stranded TW/THHN/THWN2 325 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b17,1101,1,b17,Electric Wire Stranded TW/THHN/THWN2 400 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b18,1101,1,b18,Electric Wire Stranded TW/THHN/THWN2 500 mm2,Roll,,,,Part F_1100.pdf
1101 (1) b19,1101,1,b19,Electric Wire Stranded TW/THHN/THWN2,Roll,,,,Part F_1100.pdf
1101 (1) c1,1101,1,c1,Electric Wire 14 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c2,1101,1,c2,Electric Wire 22 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c3,1101,1,c3,Electric Wire 30 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c4,1101,1,c4,Electric Wire 38 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c5,1101,1,c5,Electric Wire 50 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c6,1101,1,c6,Electric Wire 60 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c7,1101,1,c7,Electric Wire 80 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c8,1101,1,c8,Electric Wire 100 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c9,1101,1,c9,Electric Wire 125 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c10,1101,1,c10,Electric Wire 150 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c11,1101,1,c11,Electric Wire 200 mm² ACSR,Roll,,,,Part F_1100.pdf
1101 (1) c12,1101,1,c12,Electric Wire 250 mm² ACSR Page 5 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Roll,,,,Part F_1100.pdf
1101 (1) d1,1101,1,d1,Electric Wire 1C X 4 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d2,1101,1,d2,Electric Wire 1C X 6 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d3,1101,1,d3,Electric Wire 1C X 10 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d4,1101,1,d4,Electric Wire 1C X 25 XLPE,Roll,,,,Part F_1100.pdf
1101 (1) d5,1101,1,d5,Electric Wire 1C X 35 XLPE,Roll,,,,Part F_1100.pdf
