Pay Item,Pay Item (Normalized),Description,Unit,Trade,Category,Division,Part,Item,Sources
"1108 (2)","1108 (2)","Security Cabinet","Unit","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1108 - DOOR ACCESS AND CARD READER SYSTEM","BuildingEstimate, Cost-Estimate"
"1108 (3)","1108 (3)","Magnetic Card","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1108 - DOOR ACCESS AND CARD READER SYSTEM","BuildingEstimate, Cost-Estimate"
"1108 (4)","1108 (4)","Magnetic Door Contact","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1108 - DOOR ACCESS AND CARD READER SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (1)","1109 (1)","Grounding System","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (2)","1109 (2)","Exothermic Weld Connector","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (3)","1109 (3)","Air Terminal","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) a","1109 (4)A","Bare Copper Wire 2.0 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) b","1109 (4)B","Bare Copper Wire 3.5 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) c","1109 (4)C","Bare Copper Wire 5.5 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) d","1109 (4)D","Bare Copper Wire 8.0 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) e","1109 (4)E","Bare Copper Wire 14 mm2 Page 16 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) g","1109 (4)G","Bare Copper Wire 22 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) h","1109 (4)H","Bare Copper Wire 30 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) i","1109 (4)I","Bare Copper Wire 38 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) j","1109 (4)J","Bare Copper Wire 50 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) k","1109 (4)K","Bare Copper Wire 60 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) l","1109 (4)L","Bare Copper Wire 80 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (4) m","1109 (4)M","Bare Copper Wire 100 mm2","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) a","1109 (5)A","Grounding Clamps for Electric Wires 8.0 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) b","1109 (5)B","Grounding Clamps for Electric Wires 14 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) c","1109 (5)C","Grounding Clamps for Electric Wires 16 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) d","1109 (5)D","Grounding Clamps for Electric Wires 20 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) e","1109 (5)E","Grounding Clamps for Electric Wires 22 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) f","1109 (5)F","Grounding Clamps for Electric Wires 25 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) g","1109 (5)G","Grounding Clamps for Electric Wires 30 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) h","1109 (5)H","Grounding Clamps for Electric Wires 38 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) i","1109 (5)I","Grounding Clamps for Electric Wires 50 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) j","1109 (5)J","Grounding Clamps for Electric Wires 60 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) k","1109 (5)K","Grounding Clamps for Electric Wires 80 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) l","1109 (5)L","Grounding Clamps for Electric Wires 100 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) m","1109 (5)M","Grounding Clamps for Electric Wires 125 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) n","1109 (5)N","Grounding Clamps for Electric Wires 200 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) o","1109 (5)O","Grounding Clamps for Electric Wires 250 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1109 (5) p","1109 (5)P","Grounding Clamps for Electric Wires 400 mm2","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1109 - GROUNDING SYSTEM","BuildingEstimate, Cost-Estimate"
"1110 (1)","1110 (1)","Nurse Call System","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1110 - NURSE CALL SYSTEM","BuildingEstimate, Cost-Estimate"
"1110 (2)","1110 (2)","Area Control Unit (ACU)","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1110 - NURSE CALL SYSTEM","BuildingEstimate, Cost-Estimate"
"1110 (3)","1110 (3)","Nurse Call Console","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1110 - NURSE CALL SYSTEM","BuildingEstimate, Cost-Estimate"
"1110 (4)","1110 (4)","Patient Bed Station","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1110 - NURSE CALL SYSTEM","BuildingEstimate, Cost-Estimate"
"1110 (5)","1110 (5)","Corridor Lights and Zone Lights","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1110 - NURSE CALL SYSTEM","BuildingEstimate, Cost-Estimate"
"1111 (1)","1111 (1)","Reinforced Concrete Pedestal/Pole","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (10)","1111 (10)","4 Spool Insulator Secondary Rack","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (11)","1111 (11)","Mounting Bolts/ Eye bolts Page 19","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (2)","1111 (2)","Reinforced Concrete Encasement","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (3)","1111 (3)","Concrete Encasement","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (4)","1111 (4)","Handhole","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (5)","1111 (5)","Manhole","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (6)","1111 (6)","Cable Tray","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (7)","1111 (7)","Trench Excavation","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (8)","1111 (8)","2 Spool Insulator Secondary Rack","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1111 (9)","1111 (9)","3 Spool Insulator Secondary Rack Page 18 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Set","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1111 - MISCELLANEOUS ELECTRICAL/CIVIL WORKS","BuildingEstimate, Cost-Estimate"
"1200 (1)","1200 (1)","Ventilating Equipment","Lump Sum","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (10)","1200 (10)","Induced Jet Fan","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (11)","1200 (11)","Refrigerant","Kilogram","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (12)","1200 (12)","Sand Trap Louver Package/Split","Square Meter","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (13) a","1200 (13)A","Air Conditioning System Type","Lump Sum","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (13) b","1200 (13)B","Air Conditioning System VRF/VRV Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS Centralized Air-","Lump Sum","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (13) c","1200 (13)C","Air Conditioning System Condition Ducting","Lump Sum","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (14)","1200 (14)","Ventilating System","Lump Sum","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (2) a","1200 (2)A","Oscillating Fan Stand Fan","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (2) b","1200 (2)B","Oscillating Fan Wall Fan","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (2) c","1200 (2)C","Oscillating Fan Ceiling Fan","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (3)","1200 (3)","Stand Fan, Industrial Type","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (4) a","1200 (4)A","Propeller Fan Wall Mounted Fan","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (4) b","1200 (4)B","Propeller Fan Ceiling Fan Tube Axial Fan Roof","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (4) c","1200 (4)C","Propeller Fan Mounted","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (5) a","1200 (5)A","Exhaust Fan Ceiling Cassette","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (5) b","1200 (5)B","Exhaust Fan Wall Mounted Wall Mounted, Industrial","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (5) c","1200 (5)C","Exhaust Fan Type","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (5) d","1200 (5)D","Exhaust Fan Tubular in Line","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (6)","1200 (6)","Supply Fan, Ceiling Cassette","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (7)","1200 (7)","Centrifugal Cabinet in line Fan Ducted Type (CCI)","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (8)","1200 (8)","Centrifugal Fan Backward Incline","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1200 (9)","1200 (9)","Kitchen Hood","Set","MEPF","Ventilation","DIVISION II - BUILDING","PART G","ITEM 1200 � AIR CONDITIONING AND VENTILATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (1)","1201 (1)","Water Pumping System","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (2)","1201 (2)","Centrifugal Pump with Control","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (3)","1201 (3)","Submersible Multi-Stage Deepwell Pump with Control","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (4)","1201 (4)","Submersible Sump Pump with Control","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (5)","1201 (5)","Booster Pump with Control","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (6)","1201 (6)","Jet Pump with Control","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (7) a","1201 (7)A","Water Tank Stainless","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (7) b","1201 (7)B","Water Tank Galvanized Iron","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (7) c","1201 (7)C","Water Tank Polyethylene","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (7) d","1201 (7)D","Water Tank Concrete","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (8)","1201 (8)","Valves and Pipe Fittings","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1201 (9)","1201 (9)","Electrode","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1201  - WATER PUMPING SYSTEM","BuildingEstimate, Cost-Estimate"
"1202 (1)","1202 (1)","Automatic Fire Sprinkler System","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (2)","1202 (2)","Fire Pump Complete with Control and Standard Accessories","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (3)","1202 (3)","Jockey Pump complete with control and standard accessories","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (4) a","1202 (4)A","Fire Hose Valve with cap 63 mm dia","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (4) b","1202 (4)B","Fire Hose Valve with cap 40 mm dia","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (5)","1202 (5)","Fire Hose Cabinet Assembly Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (6) a1","1202 (6)A1","Fire Extinguisher 4.54 kg ABC with bracket","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (6) a2","1202 (6)A2","Fire Extinguisher 9.07 kg ABC with bracket CO2/HCFC123 with","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (6) b1","1202 (6)B1","Fire Extinguisher 4.54 kg bracket CO2/HCFC123 with","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (6) b2","1202 (6)B2","Fire Extinguisher 9.07 kg bracket CO2/HCFC123 wheeled","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (6) c","1202 (6)C","Fire Extinguisher 22.68 kg type Fire Department Connections for Wet and Dry Type System, 100 mm x 63 mm x 63","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (7)","1202 (7)","mm","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1202 (8)","1202 (8)","Fire Hydrant","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM 1202 � AUTOMATIC FIRE SPRINKLER SYSTEM (AFSS)","BuildingEstimate, Cost-Estimate"
"1203 (1) a","1203 (1)A","Electric Elevator up to 500 kg","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1203 � ELEVATOR SYSTEM","BuildingEstimate, Cost-Estimate"
"1203 (1) b","1203 (1)B","Electric Elevator 501 kg - 1000 kg","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1203 � ELEVATOR SYSTEM","BuildingEstimate, Cost-Estimate"
"1203 (1) c","1203 (1)C","Electric Elevator above 1000 kg","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1203 � ELEVATOR SYSTEM","BuildingEstimate, Cost-Estimate"
"1203 (2)","1203 (2)","Service Elevator","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1203 � ELEVATOR SYSTEM","BuildingEstimate, Cost-Estimate"
"1204 (1)","1204 (1)","Electric Dumbwaiter","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1204 � ELECTRIC DUMBWAITER","BuildingEstimate, Cost-Estimate"
"1204 (2)","1204 (2)","Electric Wires and Conduits","Meter","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1204 � ELECTRIC DUMBWAITER","BuildingEstimate, Cost-Estimate"
"1205 (1)","1205 (1)","Oxygen, Nitrous Oxide, Gas Manifold and Duplex Vacuum Pump","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1205 � OXYGEN, NITROUS OXIDE, VACUUM AND FUEL GAS SYSTEM","BuildingEstimate, Cost-Estimate"
"1205 (2)","1205 (2)","Humidifier, Vacuum Trap Bottle, Outlets, Valves Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Each","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1205 � OXYGEN, NITROUS OXIDE, VACUUM AND FUEL GAS SYSTEM","BuildingEstimate, Cost-Estimate"
"1205 (3)","1205 (3)","Pipes and Tubings","Linear Meter","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1205 � OXYGEN, NITROUS OXIDE, VACUUM AND FUEL GAS SYSTEM","BuildingEstimate, Cost-Estimate"
"1206 (1)","1206 (1)","Boilers, Fuel Pump, Storage Tank and Fuel Day Tank including Foundation","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1206 � HEATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1206 (2)","1206 (2)","Pipes","Meter","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1206 � HEATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1206 (3)","1206 (3)","Valves and Fittings","Each","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1206 � HEATING SYSTEM","BuildingEstimate, Cost-Estimate"
"1207 (1)","1207 (1)","Boiler (including fittings and attachments)","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1207 - BOILER","BuildingEstimate, Cost-Estimate"
"1208 (1)","1208 (1)","Fire Alarm System","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (10)","1208 (10)","Loop Expander Module","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (11)","1208 (11)","Loop Control Module","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (12)","1208 (12)","Annunciator Addressable Module Page 4","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (2)","1208 (2)","Smoke Detector with Base","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (3)","1208 (3)","Heat Detector with Base","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (4)","1208 (4)","Fire Alarm Bell","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (5)","1208 (5)","Fire Alarm Control Panel","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (6)","1208 (6)","Manual Pull Station Switch","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (7)","1208 (7)","Back-up Battery Pack","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (8)","1208 (8)","Automatic Voltage Regulator","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1208 (9)","1208 (9)","Extended Power Supply","Set","Other","General Works","DIVISION II - BUILDING","PART G","ITEM  1208 - FIRE ALARM SYSTEM","BuildingEstimate, Cost-Estimate"
"1300 (1)","1300 (1)","Untreated Timber Piles, furnished","Meter","Other","General Works","","","","BuildingEstimate"
"1300 (10)","1300 (10)","Steel H-Piles, driven","Meter","Other","General Works","","","","BuildingEstimate"
"1300 (11)","1300 (11)","Steel Pipes Piles","Meter","Other","General Works","","","","BuildingEstimate"
"1300 (12)","1300 (12)","Structural Steel Sheet Piles, driven","Meter","Other","General Works","","","","BuildingEstimate"
"1300 (13)","1300 (13)","Precast Concrete Sheet Piles, driven","Meter","Other","General Works","","","","BuildingEstimate"
"1300 (14)","1300 (14)","Precast Concrete Piles, driven","Meter","Other","General Works","","","","BuildingEstimate"
"1300 (15)","1300 (15)","Precast, Prestresssed Concrete Piles, driven","Meter","Other","General Works","","","","BuildingEstimate"
